member_id;name;phone_num;email;hold
M1;Zoro;81274857483;roronoazoro@gmail.com;1
M2;Mihawk;81726495849;mihawk@gmail.com;2
M3;Luffy;81726374938;devilfruiteater@gmail.com;3
M4;Shanks;81739400948;shanksredhair@gmail.com;0
M5;Bintang;81736293827;bintangalfa@gmail.com;0
M6;Luca;83930073849;lucacadalora@gmail.com;0
M7;Zeff;89300374839;zeffblue@gmail.com;0
M8;Sanji;89400384932;sanjithecook@gmail.com;0
M9;Usopp;80384939382;greatcaptain@gmail.com;0
M11;Ryu;80484739483;ryu1234@gmail.com;0
M12;Nojiko;84937473883;nojiko111@gmail.com;2
M13;Danial;83928372829;danialbramanta@gmail.com;0
